IPC_Mexico,USD_MXN
0.00195713,0.00192049
-0.00551546,0.00000000
-0.02877153,0.00059656
0.00561713,-0.00270100
-0.01898874,0.00494628
-0.00585651,-0.00297037
0.00408430,0.00321748
0.00472320,-0.00030203
0.02324579,0.00030203
-0.01196484,-0.00079648
-0.00405961,-0.00339472
-0.02282608,0.00494143
-0.02235966,-0.00070441
-0.02386803,0.00089644
0.00056803,-0.00531726
-0.05497479,0.00976010
0.06164975,-0.00554064
0.02669573,-0.00293341
0.01025848,-0.00284985
-0.01900068,0.00036816
0.01374768,-0.00027615
0.01802953,-0.00202731
0.00116164,-0.00041513
0.01740580,-0.00220795
0.02185762,-0.00311231
-0.04670638,0.00498798
-0.00562987,-0.00244923
0.00567792,-0.00151880
0.00344530,-0.00324900
0.02121336,0.00041827
0.00278914,-0.00092978
0.01501656,-0.00151752
-0.00574346,0.00016765
-0.01361749,0.00167541
0.01475933,-0.00183373
-0.00937600,0.00266104
0.01116475,0.00127225
0.00467285,0.00040818
0.00568752,-0.00083521
0.01459362,-0.00013929
0.00881199,-0.00390751
0.00648545,-0.00289397
-0.00971977,-0.00283674
-0.04105477,0.00521788
0.02081271,-0.00504909
-0.00903560,0.00416262
0.00055486,-0.00168166
-0.01932352,0.01362409
-0.00363822,-0.00408537
-0.01427200,0.00417764
0.04366240,-0.00807518
-0.00622201,0.00071569
0.01423026,-0.00205554
-0.02228389,0.00208336
0.01595009,-0.00820971
-0.01516447,0.00392669
0.01917495,-0.00350529
0.01163876,0.00116985
0.00253770,0.00023375
-0.00233857,-0.00043955
0.00342393,0.00020579
0.02698691,-0.00529838
0.01779051,-0.00646148
0.00702185,-0.00125942
-0.00456205,0.00078613
0.00537681,-0.00123163
0.00036001,0.00118423
-0.00978805,0.00061528
0.00733259,-0.00550335
-0.01100794,0.00114113
-0.00352316,-0.00715352
0.00586460,0.00108107
0.01688440,-0.00004780
-0.00390042,0.00107039
0.00030479,0.00066841
0.00937105,0.00531237
-0.00172507,-0.00444410
-0.00600243,-0.00193795
-0.00319998,-0.00299542
-0.02349588,0.00301456
-0.01251400,0.00055410
-0.01158583,0.00639731
0.00035571,-0.00461302
0.00887883,-0.00348574
0.01324739,0.00207380
0.00850824,0.00234577
-0.01488308,0.00446649
