Date,LogRend_SIP500,LogRend_USD/MXN
8/17/2021,-0.007085744,0.001127385
8/18/2021,-0.010806653,0.005890475
8/19/2021,0.001255903,0.002072633
8/20/2021,0.008108604,0.006375175
8/23/2021,0.008487668,0.010570112
8/24/2021,0.001494619,-0.003122942
8/25/2021,0.002217657,-0.005520135
8/26/2021,-0.00584195,0.000494789
8/27/2021,0.008769072,0.007412085
8/30/2021,0.004297324,-0.009977676
8/31/2021,-0.001350027,-0.001243122
9/1/2021,0.00031164,-0.003962754
9/2/2021,0.002838606,-0.00308815
9/3/2021,-0.000335087,-0.001771692
9/7/2021,-0.003401352,-0.003726495
9/8/2021,-0.001319437,0.001994157
9/9/2021,-0.004616247,-1.50E-05
